Name,Rating,Title,Nationality,Games,Rank,Fide Id,Year of Birth
Evandro Amorim Barbosa,2509,Grand Master,Brazil,193,666,2115824,1992
Michael Brown,2509,Grand Master,United States,183,667,2037602,1997
Jose Angel Guerra Mendez,2509,Grand Master,Spain,163,668,3508129,1988
Maximilian Neef,2509,International Master,Germany,139,669,24692085,1996
Ernesto Fernandez Romero,2509,Grand Master,Spain,743,670,2214679,1983
Robin Swinkels,2509,Grand Master,Netherlands,740,671,1010824,1989
Uwe Boensch,2508,Grand Master,Germany,1622,672,4611268,1958
Bojan Kurajica,2508,Grand Master,Croatia,2394,673,14400057,1947
Matthias Dann,2508,International Master,Germany,216,674,24638056,1991
Yunguo Wan,2508,Grand Master,China,381,675,8603189,1990
Leon Livaic,2507,International Master,Croatia,254,676,14531534,2000
Pawel Teclaf,2507,International Master,Poland,163,677,1185934,2003
Lucian Costin Miron,2507,Grand Master,Romania,381,678,1210920,1987
S. Arun Prasad,2507,Grand Master,India,463,679,5011167,1988
Azamat Utegaliyev,2594,2507,Kazakhstan,296,680,13702467,1991
Grigor Grigorov,2507,Grand Master,Bulgaria,291,681,2907313,1987
Aryan Gholami,2507,Grand Master,Iran,331,682,12513342,2001
Stephen J Gordon,2506,Grand Master,United Kingdom,499,683,411477,1986
Manuel Apicella,2506,Grand Master,France,1505,684,600164,1970
Philipp Schlosser,2506,Grand Master,Germany,1600,685,4600169,1968
P Iniyan,2506,Grand Master,India,296,686,25002767,2002
Semen Khanin,2506,International Master,Russian Federation,417,687,4111990,1999
Cyril Ponizil,2506,International Master,Czech Republic,430,688,322202,1991
Artem Iljin,2506,Grand Master,Russian Federation,531,689,4156021,1987
Joel Benjamin,2506,Grand Master,United States,1637,690,2000091,1964
Jose Fernando Cuenca Jimenez,2506,Grand Master,Spain,461,691,2255570,1987
Zhihang Xu,2506,International Master,China,153,692,8611572,2001
Eric Lobron,2505,Grand Master,Germany,1793,693,4600037,1960
Tingjie Lei,2505,Grand Master,China,689,694,8605114,1997
Jaime Alexander Cuartas,2505,Grand Master,Colombia,453,695,4401190,1975
Bjorn Moller Ochsner,2505,International Master,Denmark,253,696,1416928,1994
Tomas Laurusas,2505,International Master,Lithuania,362,697,12803731,1996
Amirreza Pourramezanali,2504,Grand Master,Iran,407,698,12511412,1992
Dambasuren Batsuren,2504,Grand Master,Mongolia,118,699,4902920,2004
Renato Terry,2504,International Master,Peru,46,700,3803457,1992
Sahaj Grover,2504,Grand Master,India,358,701,5021103,1995
Magesh Chandran Panchanathan,2504,Grand Master,India,446,702,5007429,1983
Alon Greenfeld,2504,Grand Master,Israel,1396,703,2800039,1964
Konstantine Shanava,2504,Grand Master,Georgia,669,704,13601784,1985
Maximilian Berchtenbreiter,2504,International Master,Germany,193,705,24641120,1994
Changren Dai,2503,International Master,China,216,706,8608156,1999
Marcin Krzyzanowski,2503,Grand Master,Poland,330,707,1132199,1994
Viacheslav Tilicheev,2503,Grand Master,Russian Federation,150,708,24114928,1994
Joris Brenninkmeijer,2503,International Master,Netherlands,472,709,1000047,1969
Spartak Vysochin,2503,Grand Master,Ukraine,974,710,14103516,1975
Jonathan S Speelman,2503,Grand Master,United Kingdom,2166,711,400033,1956
Luis Lazaro Aguero Jimenez,2503,Grand Master,Cuba,139,712,3508455,1991
Gombosuren Munkhgal,2502,Grand Master,Mongolia,291,713,4901266,1988
Johan Salomon,2502,Grand Master,Norway,380,714,1509500,1997
Thies Heinemann,2502,Grand Master,Germany,648,715,4601556,1971
Petr Kiriakov,2502,Grand Master,Russian Federation,826,716,4119231,1975
Pawel Czarnota,2502,Grand Master,Poland,521,717,1121219,1988
Evgeny A Levin,2502,Grand Master,Russian Federation,730,718,4182596,1990
Novendra Priasmoro,2502,Grand Master,Indonesia,136,719,7105029,1999
Mihail Marin,2502,Grand Master,Romania,1797,720,1200020,1965
Radoslav Dimitrov,2501,Grand Master,Bulgaria,464,721,2908549,1993
Timur Fakhrutdinov,2501,FIDE Master,Russian Federation,175,722,24176702,2001
Paulius Pultinevicius,2501,Grand Master,Lithuania,239,723,12809390,2001
Zbigniew Pakleza,2501,Grand Master,Poland,463,724,1119290,1986
Sebastien Cossin,2501,International Master,France,334,725,618802,1986
Anatoly Vaisser,2501,Grand Master,France,1520,726,603252,1949
Das Debashis,2501,Grand Master,India,573,727,5024854,1993
Toms Kantans,2501,Grand Master,Latvia,494,728,11602945,1994
Ivajlo Enchev,2501,Grand Master,Bulgaria,388,729,2907712,1989
Anthony Wirig,2500,Grand Master,France,853,730,615013,1983
Praveen Balakrishnan,2500,International Master,United States,139,731,2064871,2002
Vitali Golod,2500,Grand Master,Israel,1292,732,2804140,1971
Vladislav Nozdrachev,2500,International Master,Russian Federation,263,733,24113441,1992
Maia Chiburdanidze,2500,Grand Master,Georgia,1454,734,13600036,1961
Andrey Drygalov,2500,International Master,Russian Federation,291,735,24171735,1999
Vyacheslav Ikonnikov,2500,Grand Master,Russian Federation,1369,736,4100972,1966
Daniel Alsina Leal,2500,Grand Master,Spain,623,737,2252627,1988
Dinara Saduakassova,2500,International Master,Kazakhstan,520,738,13700090,1996
Piotr Bobras,2500,Grand Master,Poland,824,739,1106880,1977
Mhamal Anurag,2499,Grand Master,India,294,740,5024366,1995
Jean Noel Riff,2499,Grand Master,France,738,741,611190,1981
Artem Omelja,2499,Grand Master,Ukraine,122,742,14119846,1991
Steven Zierk,2499,Grand Master,United States,194,743,2034255,1993
Arkadiusz Leniart,2499,Grand Master,Poland,509,744,1124226,1991
Branko Damljanovic,2498,Grand Master,Serbia,2393,745,900125,1961
Jan Bernasek,2498,Grand Master,Czech Republic,802,746,311995,1986
Balazs Csonka,2498,International Master,Hungary,241,747,742910,1997
Marcel Kanarek,2498,Grand Master,Poland,526,748,1126822,1993
Alexei Kornev,2498,Grand Master,Russian Federation,492,749,4120949,1976
Krasimir Rusev,2498,Grand Master,Bulgaria,742,750,2905434,1983
Masoud Mosadeghpour,2498,Grand Master,Iran,341,751,12519278,1997
Oskar Wieczorek,2498,Grand Master,Poland,387,752,1133950,1994
Hans Tikkanen,2498,Grand Master,Sweden,728,753,1706446,1985
Krzysztof Jakubowski,2497,Grand Master,Poland,827,754,1112848,1983
Roman Bar,2497,International Master,Israel,280,755,2803879,1982
Dmitry Maximov,2497,Grand Master,Ukraine,346,756,14105659,1984
Deivy Vera Siguenas,2497,Grand Master,Peru,157,757,3804623,1992
Vasil Spasov,2497,Grand Master,Bulgaria,925,758,2900041,1971
Miloje Ratkovic,2497,International Master,Serbia,193,759,914517,1996
Vladimir Petkov,2497,Grand Master,Bulgaria,816,760,2901188,1971
Robert Andrew Hungaski,2513,2496,United States,459,761,Grand,2021030 FIDE Profile
Laszlo Gonda,2496,Grand Master,Hungary,1066,762,720852,1988
Aleksandar Kovacevic,2496,Grand Master,Serbia,1309,763,903124,1974
Juraj Druska,2496,International Master,Slovakia,308,764,14915650,1994
Casper Schoppen,2496,Grand Master,Netherlands,226,765,1046730,2002
Robby Kevlishvili,2495,International Master,Netherlands,338,766,1040634,2001
G Akash,2495,Grand Master,India,126,767,5040299,1996
Igor Janik,2495,International Master,Poland,291,768,1159259,2000
S Dhopade Swapnil,2495,Grand Master,India,402,769,5019184,1990
Kevin Spraggett,2495,Grand Master,Canada,2094,770,2600013,1954
Hovik Hayrapetyan,2495,Grand Master,Armenia,523,771,13302639,1990
David Klein,2495,Grand Master,Netherlands,260,772,1003623,1993
Julio Becerra Rivero,2495,Grand Master,United States,973,773,3501728,1973
Omer Reshef,2495,International Master,Israel,168,774,2804336,1997
David Gorodetzky,2495,International Master,Israel,164,775,2813416,2000
Florian Kaczur,2495,International Master,Hungary,176,776,705098,1998
Sarasadat Khademalsharieh,2494,International Master,Iran,426,777,12512214,1997
Michal Matuszewski,2494,Grand Master,Poland,182,778,1129775,1993
Mihajlo Stojanovic,2494,Grand Master,Serbia,788,779,916366,1977
Alina Kashlinskaya,2494,International Master,Russian Federation,829,780,4198026,1993
Tomas Oral,2494,Grand Master,Czech Republic,1130,781,303739,1977
Danny Raznikov,2494,Grand Master,Israel,347,782,2811154,1993
Rafal Antoniewski,2493,Grand Master,Poland,1032,783,1111078,1980
Jacek Gdanski,2493,Grand Master,Poland,1128,784,1100106,1970
Andrey Gorovets,2493,Grand Master,Belarus,359,785,13504037,1987
Vereslav S Eingorn,2493,Grand Master,Ukraine,1427,786,14100053,1956
Andrei Belozerov,2493,Grand Master,Russian Federation,551,787,4120213,1977
Dimitri Komarov,2493,Grand Master,Ukraine,1013,788,14101270,1968
Andrei Murariu,2493,Grand Master,Romania,576,789,1209272,1986
Gerald Hertneck,2493,Grand Master,Germany,1184,790,4600088,1963
Qi b Chen,2493,International Master,China,240,791,8614733,2000
Ariel Erenberg,2492,International Master,Israel,317,792,2811634,2001
Jan Votava,2492,Grand Master,Czech Republic,1248,793,300535,1974
Manuel Pena Gomez,2492,Grand Master,Spain,317,794,2252813,1988
Alexander Zabotin,2492,International Master,Russian Federation,147,795,4159985,1986
Kirill Stupak,2492,Grand Master,Belarus,950,796,13503758,1990
Alexey Reshetnikov,2492,International Master,Russian Federation,450,797,4162080,1988
Jesper Hall,2492,International Master,Sweden,326,798,1700707,1971
Davor Rogic,2492,Grand Master,Croatia,1067,799,14501228,1971
Shahin Lorparizangeneh,2492,Grand Master,Iran,292,800,12521604,1999
Kevin Joel Cori Quispe,2492,Grand Master,Peru,69,801,3814017,1999
Israel Caspi,2492,International Master,Israel,271,802,2807394,1989
Nazar Firman,2491,Grand Master,Ukraine,604,803,14104490,1983
Kevel Oliva Castaneda,2491,Grand Master,Cuba,236,804,3500799,1994
Lance Henderson de La Fuente,2491,Grand Master,Spain,233,805,32096585,2003
Nino Batsiashvili,2491,Grand Master,Georgia,861,806,13602993,1987
Christopher Repka,2491,Grand Master,Slovakia,470,807,14918781,1998
Brandon Jacobson,2491,Grand Master,United States,245,808,30901561,2003
Ilya Khmelniker,2491,Grand Master,Israel,352,809,2805340,1985
Eyal Grinberg,2491,International Master,Israel,128,810,2806070,1998
Alexandre Dgebuadze,2490,Grand Master,Belgium,1084,811,203882,1971
Sergey Drygalov,2490,International Master,Russian Federation,257,812,24171743,1999
Milos Roganovic,2490,Grand Master,Serbia,333,813,937614,1991
Artem Chernobay,2490,Grand Master,Russian Federation,109,814,4167406,1989
Ulvi Sadikhov,2490,Grand Master,Azerbaijan,149,815,13401416,1998
Martin Petr,2489,Grand Master,Czech Republic,727,816,318299,1988
Martijn Dambacher,2489,Grand Master,Netherlands,619,817,1005030,1979
Borya Ider,2489,International Master,France,250,818,4901134,1994
Dragisa Blagojevic,2489,Grand Master,Montenegro,1140,819,900885,1966
Mishra Swayams,2489,Grand Master,India,399,820,5028183,1992
Branko Tadic,2487,Grand Master,Serbia,515,821,916412,1973
Johannes Haug,2487,International Master,Norway,273,822,1509268,2000
Razvan Preotu,2487,Grand Master,Canada,118,823,2613280,1999
Julen Luis Arizmendi Martinez,2487,Grand Master,Spain,916,824,2205092,1976
Darko Doric,2487,International Master,Croatia,530,825,14507200,1984
Denis Kovalev,2487,International Master,Ukraine,162,826,14104059,1982
Ioannis Georgiadis,2487,International Master,Greece,326,827,4208900,1987
Carlos S Matamoros Franco,2487,Grand Master,Ecuador,1187,828,3600017,1966
Andreas Diermair,2487,Grand Master,Austria,652,829,1612468,1986
Walter Arencibia Rodriguez,2486,Grand Master,Cuba,127,830,3500012,1967
Sergey Klimov,2486,Grand Master,Russian Federation,431,831,4121759,1979
Vladimir Zakhartsov,2486,Grand Master,Russian Federation,574,832,4145097,1997
Alex Yermolinsky,2486,Grand Master,United States,1537,833,2005492,1958
Robert Cvek,2486,Grand Master,Czech Republic,1082,834,307424,1979
Raymond Song,2485,International Master,Taiwan,252,835,3203824,1994
Angel Espinosa Aranda,2485,International Master,Spain,206,836,2278189,1992
Martin Nayhebaver,2485,International Master,Slovakia,283,837,14923432,1999
Zhonghan Ma,2485,International Master,China,167,838,8607206,1995
Ermes Espinosa Veloz,2485,Grand Master,Cuba,234,839,3507424,1987
Sergey Zagrebelny,2485,Grand Master,Uzbekistan,950,840,14200040,1965
Jonny Hector,2485,Grand Master,Sweden,2180,841,1700090,1964
Stamatis Kourkoulos Arditis,2485,International Master,Greece,160,842,4221990,1998
Trajko Nedev,2485,Grand Master,Macedonia,582,843,15000605,1973
Arnaldo Fernandez De La Vara,2485,International Master,Cuba,47,844,3518388,1999
Xiongjian Peng,2364,2485,China,205,845,8610550,2000
Ameet K Ghasi,2485,International Master,United Kingdom,174,846,409200,1987
Valentin Iotov,2485,Grand Master,Bulgaria,594,847,2906074,1988
Nikolaus Stanec,2484,Grand Master,Austria,1075,848,1601776,1968
Rustam Khusnutdinov,2484,Grand Master,Kazakhstan,477,849,13701703,1987
Titas Stremavicius,2484,Grand Master,Lithuania,340,850,12804444,1998
Robert Kuczynski,2484,Grand Master,Poland,1105,851,1100033,1966
Andres Rodriguez Vila,2484,Grand Master,Uruguay,605,852,3000010,1973
Jiri Kociscak,2484,International Master,Czech Republic,353,853,322121,1993
Dejan Bojkov,2483,Grand Master,Bulgaria,536,854,2904292,1977
Michael Bezold,2483,Grand Master,Germany,1046,855,4601718,1972
Venkataraman Karthik,2483,Grand Master,India,274,856,25006479,1999
Semen I Dvoirys,2483,Grand Master,Russian Federation,1656,857,4100379,1958
Lorenzo Lodici,2483,International Master,Italy,253,858,884189,2000
Jose Gonzalez Garcia,2483,Grand Master,Spain,792,859,5101174,1973
Gudmundur Kjartansson,2483,International Master,Iceland,747,860,2301318,1988
Adrien Demuth,2483,Grand Master,France,615,861,642274,1991
Dan Zoler,2483,Grand Master,Israel,645,862,2800705,1974
Luis Galego,2483,Grand Master,Portugal,1662,863,1900072,1966
Paul Velten,2482,Grand Master,France,271,864,681091,1993
Darwin Yang,2482,Grand Master,United States,297,865,2029111,1996
Stefan Bromberger,2482,Grand Master,Germany,829,866,4635248,1982
Lars Oskar Hauge,2482,International Master,Norway,352,867,1509276,1998
Dorian Rogozenco,2482,Grand Master,Romania,1193,868,1210319,1973
Victor L Ivanov,2482,International Master,Russian Federation,452,869,4106148,1969
Alexander Markgraf,2482,International Master,Germany,311,870,4646410,1981
Dusan Popovic,2481,Grand Master,Serbia,823,871,927031,1983
Matej Sebenik,2481,Grand Master,Slovenia,1191,872,14602296,1983
Pavel Potapov,2481,Grand Master,Russian Federation,1125,873,4169786,1990
Eldar Gasanov,2481,Grand Master,Ukraine,836,874,14104466,1982
William Hernandez Gonzalez,2481,International Master,Cuba,59,875,3509915,1995
Dalibor Stojanovic,2481,Grand Master,Bosnia And Herzegovina,624,876,922692,1983
Mate Bagi,2481,International Master,Hungary,289,877,742570,1995
Arian Gonzalez Perez,2481,Grand Master,Fide,136,878,3507777,1988
Melikset Khachiyan,2481,Grand Master,United States,211,879,13300512,1970
Liam Vrolijk,2480,International Master,Netherlands,233,880,1048333,2002
Daniel Hausrath,2480,Grand Master,Germany,1152,881,4617495,1976
Gaioz Nigalidze,2480,International Master,Georgia,265,882,13603078,1989
Dmitry V Sklyarov,2480,International Master,Finland,59,883,4157052,1983
Mihail Saltaev,2480,Grand Master,Uzbekistan,1017,884,14200058,1962
Guillaume Lamard,2480,International Master,France,145,885,600261,1997
Mika Karttunen,2480,International Master,Finland,1085,886,502081,1981
Denis Makhnev,2480,International Master,Kazakhstan,220,887,13707647,2000
Mario Villanueva,2480,International Master,Argentina,199,888,113433,1984
Axel Delorme,2480,Grand Master,France,559,889,632023,1990
Rautela Saksham,2480,International Master,India,75,890,35046977,2004
Tagir Salemgareev,2396,2480,Russian Federation,111,891,24199052,2002
Mikel Huerga Leache,2479,International Master,Spain,327,892,2268795,1989
Ilja Schneider,2479,International Master,Germany,667,893,4663306,1984
Quinten Ducarmon,2479,International Master,Netherlands,231,894,1025007,1994
Renier Castellanos Rodriguez,2479,International Master,Spain,295,895,3404650,1982
Damian Lemos,2479,Grand Master,Argentina,523,896,113581,1990
Felix Levin,2479,Grand Master,Germany,1147,897,4650905,1958
Evgeny Sveshnikov,2478,Grand Master,Russian Federation,2264,898,4100638,1950
Yago De Moura Santiago,2478,Grand Master,Brazil,208,899,2103877,1992
Vugar Rasulov,2478,Grand Master,Azerbaijan,446,900,13402390,1991
Valery A Loginov,2478,Grand Master,Russian Federation,1490,901,4126297,1955
Volodar Murzin,2478,International Master,Russian Federation,340,902,44155573,2006
Pere Garriga Cazorla,2478,International Master,Spain,153,903,32011601,1998
John M Emms,2478,Grand Master,United Kingdom,1109,904,400254,1967
Spyridon Kapnisis,2478,Grand Master,Greece,554,905,4203445,1981
