Name,Rating,Title,Nationality,Games,Rank,Fide Id,Year of Birth
Vladislav Artemiev,2709,Grand Master,Russian Federation,1208,32,24101605,1998
Jeffery Xiong,2709,Grand Master,United States,644,33,2047640,2000
Quang Liem Le,2709,Grand Master,Viet Nam,1607,34,12401137,1991
Evgeny Tomashevsky,2706,Grand Master,Russian Federation,1498,35,4147235,1987
Xiangzhi Bu,2705,Grand Master,China,1557,36,8601445,1985
Andrey Esipenko,2701,Grand Master,Russian Federation,739,37,24175439,2002
Jorden Van Foreest,2701,Grand Master,Netherlands,836,38,1039784,1999
Yuriy Kryvoruchko,2699,Grand Master,Ukraine,1099,39,14109182,1986
David Navara,2697,Grand Master,Czech Republic,2401,40,309095,1985
Kirill Alekseenko,2696,Grand Master,Russian Federation,720,41,4135539,1997
Bassem Amin,2695,Grand Master,Egypt,1027,42,10601457,1988
Matthew D Sadler,2694,Grand Master,United Kingdom,916,43,400173,1974
Radoslaw Wojtaszek,2694,Grand Master,Poland,2007,44,1118358,1987
Sam Shankland,2691,Grand Master,United States,859,45,2004887,1991
Alexandr Predke,2690,Grand Master,Russian Federation,754,46,24107581,1994
Maxim Matlakov,2688,Grand Master,Russian Federation,1516,47,4168003,1991
Vladimir Fedoseev,2687,Grand Master,Russian Federation,1364,48,24130737,1995
Zoltan Almasi,2687,Grand Master,Hungary,1944,49,702293,1976
Alexander Areshchenko,2687,Grand Master,Ukraine,1302,50,14109530,1986
Igors Rausis,2685,International Master,Fide,1747,51,11600098,1961
Dmitry Jakovenko,2684,Grand Master,Russian Federation,1849,52,4122356,1983
Anton Korobov,2683,Grand Master,Ukraine,1903,53,14105730,1985
Chao b Li,2683,Grand Master,China,902,54,8604436,1989
AR Saleh Salem,2682,Grand Master,United Arab Emirates,853,55,9301348,1993
Gabriel Sargissian,2682,Grand Master,Armenia,1524,56,13300881,1983
Markus Ragger,2680,Grand Master,Austria,1614,57,1610856,1988
Illya Nyzhnyk,2679,Grand Master,Ukraine,589,58,14118084,1996
Etienne Bacrot,2678,Grand Master,France,2576,59,605506,1983
Vassily Ivanchuk,2678,Grand Master,Ukraine,3931,60,14100010,1969
Boris Gelfand,2676,Grand Master,Israel,3242,61,2805677,1968
Parham Maghsoodloo,2676,Grand Master,Iran,584,62,12539929,2000
Luke J McShane,2674,Grand Master,United Kingdom,1534,63,404853,1984
Ferenc Berkes,2673,Grand Master,Hungary,1605,64,718572,1985
Ray Robson,2673,Grand Master,United States,677,65,2023970,1994
David Anton Guijarro,2673,Grand Master,Spain,1093,66,2285525,1995
Pavel Eljanov,2672,Grand Master,Ukraine,1660,67,14102951,1983
Gawain C Jones,2670,Grand Master,United Kingdom,1452,68,409561,1987
Nils Grandelius,2670,Grand Master,Sweden,1182,69,1710400,1993
Matthias Bluebaum,2670,Grand Master,Germany,875,70,24651516,1997
Yue Wang,2669,Grand Master,China,1374,71,8601429,1987
Hua Ni,2667,Grand Master,China,1347,72,8601160,1983
Ivan Cheparinov,2667,Grand Master,Bulgaria,1900,73,2905540,1986
Vladimir Malakhov,2665,Grand Master,Russian Federation,1823,74,4120787,1980
Gadir Guseinov,2665,Grand Master,Azerbaijan,1161,75,13401378,1986
Gata Kamsky,2665,Grand Master,United States,2056,76,2000024,1974
Nijat Abasov,2664,Grand Master,Azerbaijan,533,77,13402960,1995
Peter Leko,2663,Grand Master,Hungary,2504,78,703303,1979
Sanan Sjugirov,2663,Grand Master,Russian Federation,1362,79,4189302,1993
Hrant Melkumyan,2663,Grand Master,Armenia,1022,80,13302485,1989
Rustam Kasimdzhanov,2662,Grand Master,Uzbekistan,1516,81,14200244,1979
Alexei Shirov,2662,Grand Master,Spain,3484,82,2209390,1972
Samuel Sevian,2660,Grand Master,United States,604,83,2040506,2000
B Adhiban,2659,Grand Master,India,1057,84,5018471,1992
Alexander Donchenko,2659,Grand Master,Germany,1028,85,24603295,1998
Alexander Morozevich,2659,Grand Master,Russian Federation,2321,86,4116992,1977
David W L Howell,2658,Grand Master,United Kingdom,1532,87,410608,1990
Yifan Hou,2658,Grand Master,China,1495,88,8602980,1994
Constantin Lupulescu,2656,Grand Master,Romania,1268,89,1207822,1984
Liviu Dieter Nisipeanu,2656,Grand Master,Germany,1882,90,1202758,1976
Rauf Mamedov,2654,Grand Master,Azerbaijan,1846,91,13401653,1988
Ernesto Inarkiev,2654,Grand Master,Russian Federation,1812,92,4162722,1985
Grigoriy Oparin,2652,Grand Master,Russian Federation,870,93,24125890,1997
Jorge Cori,2652,Grand Master,Peru,498,94,3802272,1995
Aleksandr Rakhmanov,2651,Grand Master,Russian Federation,1394,95,4173708,1989
Andrei Volokitin,2650,Grand Master,Ukraine,1551,96,14107090,1986
Dariusz Swiercz,2649,Grand Master,United States,1055,97,1126881,1994
Alexey Sarana,2649,Grand Master,Russian Federation,798,98,24133795,2000
Arkadij Naiditsch,2649,Grand Master,Azerbaijan,2379,99,4650891,1985
Alexander Onischuk,2649,Grand Master,United States,1480,100,14101025,1975
Vladislav Kovalev,2648,Grand Master,Belarus,1001,101,13504398,1994
Ivan Saric,2648,Grand Master,Croatia,1517,102,14508150,1990
Evgeniy Najer,2648,Grand Master,Russian Federation,1938,103,4118987,1977
Krishnan Sasikiran,2647,Grand Master,India,1863,104,5004985,1981
Viktor Laznicka,2647,Grand Master,Czech Republic,1662,105,316385,1988
Aleksey Dreev,2647,Grand Master,Russian Federation,3222,106,4100107,1969
Sergei Movsesian,2647,Grand Master,Armenia,2555,107,310204,1978
David Paravyan,2647,Grand Master,Russian Federation,778,108,4194985,1998
Karen H Grigoryan,2645,Grand Master,Armenia,689,109,13301004,1995
Alexander Ipatov,2644,Grand Master,Turkey,708,110,14116731,1993
S.P. Sethuraman,2644,Grand Master,India,1072,111,5021596,1993
Jan Gustafsson,2643,Grand Master,Germany,1450,112,4625498,1979
Igor Kovalenko,2643,Grand Master,Latvia,1178,113,14117908,1988
Sergei Rublevsky,2642,Grand Master,Russian Federation,1701,114,4115309,1974
Robert Hovhannisyan,2642,Grand Master,Armenia,665,115,13302507,1991
Yuriy Kuzubov,2642,Grand Master,Ukraine,1322,116,14112906,1990
Chithambaram VR Aravindh,2641,Grand Master,India,479,117,5072786,1999
Ngoc Truong Son Nguyen,2641,Grand Master,Viet Nam,962,118,12401110,1990
Alexander Motylev,2641,Grand Master,Russian Federation,1897,119,4121830,1979
Maxime Lagarde,2640,Grand Master,France,702,120,662399,1994
Zhong Zhang,2640,Grand Master,China,904,121,8600694,1978
Samvel Ter Sahakyan,2640,Grand Master,Armenia,718,122,13302531,1993
Lazaro Bruzon Batista,2639,Grand Master,United States,1557,123,3503739,1982
Christian Bauer,2639,Grand Master,France,2043,124,603767,1977
Aryan Tari,2639,Grand Master,Norway,830,125,1510045,1999
Parimarjan Negi,2639,Grand Master,India,817,126,5016690,1993
Vladimir Akopian,2638,Grand Master,Armenia,1798,127,13300032,1971
Laurent Fressinet,2638,Grand Master,France,2277,128,608742,1981
Evgeny Bareev,2638,Grand Master,Canada,1867,129,4100140,1966
Jun Zhao,2638,Grand Master,China,704,130,8602522,1986
Tamir Nabaty,2638,Grand Master,Israel,577,131,2809052,1991
Rinat Jumabayev,2637,Grand Master,Kazakhstan,976,132,13702661,1989
Emil Sutovsky,2636,Grand Master,Israel,1757,133,2802007,1977
Jules Moussard,2635,Grand Master,France,714,134,642908,1995
Mateusz Bartel,2635,Grand Master,Poland,1889,135,1112635,1985
Surya Shekhar Ganguly,2635,Grand Master,India,1702,136,5002150,1983
Benjamin Gledura,2633,Grand Master,Hungary,465,137,712779,1999
Alexander Riazantsev,2631,Grand Master,Russian Federation,2059,138,4125029,1985
Maksim Chigaev,2631,Grand Master,Russian Federation,957,139,4108116,1996
Anton Kovalyov,2631,Grand Master,Canada,562,140,114987,1992
Dmitry Kokarev,2631,Grand Master,Russian Federation,1144,141,4132181,1982
Tamas Banusz,2631,Grand Master,Hungary,1222,142,722413,1989
Ruslan Ponomariov,2631,Grand Master,Ukraine,2041,143,14103320,1983
Mustafa Yilmaz,2630,Grand Master,Turkey,809,144,6302718,1992
Qun Ma,2630,Grand Master,China,351,145,8603154,1991
Ivan Popov,2630,Grand Master,Russian Federation,1192,146,4170350,1990
Alan Pichot,2630,Grand Master,Argentina,490,147,110973,1998
Julio E Granda Zuniga,2630,Grand Master,Peru,1597,148,3800024,1967
M.amin Tabatabaei,2629,Grand Master,Iran,467,149,12521213,2001
Sandro Mareco,2629,Grand Master,Argentina,923,150,112275,1987
Manuel Petrosyan,2628,Grand Master,Armenia,549,151,13300857,1998
Konstantin Landa,2628,Grand Master,Russian Federation,1587,152,4101685,1972
Georg Meier,2628,Grand Master,Germany,1263,153,4675789,1987
Nodirbek Abdusattorov,2627,Grand Master,Uzbekistan,384,154,14204118,2004
Luka Lenic,2627,Grand Master,Slovenia,1136,155,14603853,1988
Nigel D Short,2626,Grand Master,United Kingdom,2842,156,400025,1965
Martyn Kravtsiv,2625,Grand Master,Ukraine,1039,157,14113147,1990
Bogdan-Daniel Deac,2625,Grand Master,Romania,576,158,1226380,2001
Aleksandr Lenderman,2624,Grand Master,United States,691,159,2021285,1989
Benjamin Bok,2624,Grand Master,Netherlands,975,160,1017063,1995
Ioannis Papaioannou,2623,Grand Master,Greece,675,161,4201345,1976
Farrukh Amonatov,2622,Grand Master,Tajikistan,922,162,14700077,1978
Erwin L'Ami,2622,Grand Master,Netherlands,934,163,1007998,1985
Vladimir Onischuk,2622,Grand Master,Ukraine,1003,164,14114038,1991
Haik M Martirosyan,2622,Grand Master,Armenia,393,165,13306553,2000
Daniel Naroditsky,2621,Grand Master,United States,459,166,2026961,1995
Nihal Sarin,2620,Grand Master,India,415,167,25092340,2004
Evgeny Shtembuliak,2620,Grand Master,Ukraine,248,168,14113325,1999
Alexander Moiseenko,2620,Grand Master,Ukraine,1788,169,14102560,1980
Jose Eduardo Martinez Alcantara,2620,Grand Master,Peru,247,170,3805662,1999
Yaroslav Zherebukh,2620,Grand Master,United States,650,171,14116804,1993
Loek Van Wely,2620,Grand Master,Netherlands,3686,172,1000268,1972
Evgeny Alekseev,2619,Grand Master,Russian Federation,1902,173,4138147,1985
Boris Grachev,2619,Grand Master,Russian Federation,1832,174,4129199,1986
Pavel Ponkratov,2619,Grand Master,Russian Federation,1422,175,4157800,1988
Narayanan.S.L,2618,Grand Master,India,444,176,5058422,1998
Wojciech Moranda,2618,Grand Master,Poland,506,177,1122401,1988
Jinshi Bai,2618,Grand Master,China,433,178,8602280,1999
Peter Heine Nielsen,2618,Grand Master,Denmark,1888,179,1400355,1973
Bartosz Socko,2618,Grand Master,Poland,2307,180,1107038,1978
Johan-Sebastian Christiansen,2617,Grand Master,Norway,542,181,1512668,1998
Daniele Vocaturo,2617,Grand Master,Italy,1003,182,813192,1989
Anatoly Karpov,2617,Grand Master,Russian Federation,3777,183,4100026,1951
Sergey A Fedorchuk,2616,Grand Master,Ukraine,1721,184,14102536,1981
Neuris Delgado Ramirez,2616,Grand Master,Paraguay,360,185,3503631,1981
Ildar Khairullin,2615,Grand Master,Russian Federation,1074,186,4151348,1990
Jianchao Zhou,2615,Grand Master,China,1004,187,8603537,1988
Kacper Piorun,2615,Grand Master,Poland,950,188,1130420,1991
Shanglei Lu,2615,Grand Master,China,873,189,8603332,1995
Ahmed Adly,2615,Grand Master,Egypt,885,190,10601619,1987
Viktor Erdos,2614,Grand Master,Hungary,1397,191,719978,1987
Varuzhan Akobian,2614,Grand Master,United States,1090,192,13300580,1983
Vadim Zvjaginsev,2614,Grand Master,Russian Federation,1944,193,4113403,1976
Ilia Smirin,2614,Grand Master,Israel,2308,194,2801990,1968
Maxim Rodshtein,2614,Grand Master,Israel,1145,195,2806851,1989
Rasmus Svane,2613,Grand Master,Germany,855,196,4657101,1997
